date,total_passed,peak_birds,peak_direction,peak_speed_mph,peak_altitude_ft
2021-03-01,10600,21500,—,-,-
2021-03-02,65700,87900,NE,21.0,700.0
2021-03-03,85500,72100,NE,23.0,1000.0
2021-03-04,10500,24100,—,-,-
2021-03-05,10700,26000,—,-,-
2021-03-06,10200,25600,—,-,-
2021-03-07,10800,34300,—,-,-
2021-03-08,110100,57600,NE,39.0,800.0
2021-03-09,106600,100900,NW,20.0,700.0
2021-03-10,429200,121600,NNE,29.0,700.0
2021-03-11,211800,70300,NE,36.0,800.0
2021-03-12,10500,20400,—,-,-
2021-03-13,38800,55600,NE,11.0,700.0
2021-03-14,10400,25700,—,-,-
2021-03-15,12200,59000,NW,15.0,900.0
2021-03-16,9800,20600,—,-,-
2021-03-17,11600,20900,—,-,-
2021-03-18,9700,205500,WNW,0.0,2600.0
2021-03-19,9900,27900,—,-,-
2021-03-20,211100,143200,NE,22.0,2000.0
2021-03-21,144000,101400,NNE,22.0,2100.0
2021-03-22,29200,38500,N,11.0,2600.0
2021-03-23,15500,23900,—,-,-
2021-03-24,86700,120200,NE,23.0,1900.0
2021-03-25,1659400,1026400,NNE,15.0,2300.0
2021-03-26,19600,28200,—,-,-
2021-03-27,1335400,590400,NNE,42.0,3400.0
2021-03-28,9300,23900,—,-,-
2021-03-29,57700,73400,NNW,18.0,700.0
2021-03-30,1112300,332400,NE,54.0,3000.0
2021-03-31,9400,25500,—,-,-
2021-04-01,9300,19900,—,-,-
2021-04-02,9200,19800,—,-,-
2021-04-03,16300,37000,—,-,-
2021-04-04,8700,19800,—,-,-
2021-04-05,12700,28100,—,-,-
2021-04-06,54000,81100,NE,11.0,1300.0
2021-04-07,175500,195700,N,21.0,1800.0
2021-04-08,118400,138900,NNE,28.0,1500.0
2021-04-09,14200,24400,—,-,-
2021-04-10,140200,109400,N,19.0,900.0
2021-04-11,19100,43600,NNW,15.0,2300.0
2021-04-12,9300,20500,—,-,-
2021-04-13,379200,197700,NE,27.0,1100.0
2021-04-14,44100,48500,NE,20.0,1500.0
2021-04-15,9700,23200,—,-,-
2021-04-16,10400,26100,—,-,-
2021-04-17,68300,76300,ENE,15.0,1300.0
2021-04-18,1761500,873400,NE,30.0,1100.0
2021-04-19,763700,390200,NE,26.0,1200.0
2021-04-20,2214600,815500,NE,54.0,2400.0
2021-04-21,8700,23600,—,-,-
2021-04-22,9300,20900,—,-,-
2021-04-23,185900,97400,NE,35.0,700.0
2021-04-24,60300,125200,NNE,22.0,1500.0
2021-04-25,10200,23200,—,-,-
2021-04-26,449000,532400,NE,21.0,1900.0
2021-04-27,6277200,2382000,NE,41.0,1600.0
2021-04-28,1550800,1930200,NNE,24.0,1200.0
2021-04-29,254900,438200,NE,20.0,1200.0
2021-04-30,8300,30600,—,-,-
2021-05-01,2205700,1255400,NE,48.0,1000.0
2021-05-02,6449300,2678500,NE,37.0,1200.0
2021-05-03,330100,513600,NNE,11.0,1400.0
2021-05-04,2841200,1556500,NNE,40.0,2100.0
2021-05-05,14100,80200,E,7.0,1600.0
2021-05-06,327700,802800,NE,15.0,900.0
2021-05-07,248100,927200,N,18.0,1700.0
2021-05-08,105300,122600,ENE,22.0,900.0
2021-05-09,4348500,2515100,NNE,49.0,1900.0
2021-05-10,739700,933700,NNE,15.0,900.0
2021-05-11,602200,1476000,NE,21.0,800.0
2021-05-12,397400,1056100,NE,11.0,900.0
2021-05-13,4016600,3353900,NNE,29.0,1500.0
2021-05-14,4231400,1803600,NE,36.0,1600.0
2021-05-15,2924800,1505400,NNE,27.0,1400.0
2021-05-16,1031500,958900,NE,27.0,1600.0
2021-05-17,3188700,1173600,NE,37.0,900.0
2021-05-18,2755800,1023400,NE,40.0,1200.0
2021-05-19,3078300,1936800,NNE,26.0,1400.0
2021-05-20,1057700,957300,NNE,24.0,1400.0
2021-05-21,1578100,676200,NE,35.0,1300.0
2021-05-22,215300,226800,ENE,18.0,1300.0
2021-05-23,45600,129900,ENE,8.0,1500.0
2021-05-24,314400,216300,NNE,19.0,1300.0
2021-05-25,2410300,909800,NE,43.0,1400.0
2021-05-26,186800,465000,ENE,7.0,1300.0
2021-05-27,143600,162300,NNE,11.0,2000.0
2021-05-28,7600,41300,WSW,1.0,1200.0
2021-05-29,8300,35100,—,-,-
2021-05-30,8400,25600,—,-,-
2021-05-31,1160800,688200,NE,34.0,1300.0
2021-06-01,312000,256400,NNE,26.0,1500.0
2021-06-02,58700,75900,N,20.0,1500.0
2021-06-03,36100,30900,—,-,-
2021-06-04,93100,84300,NE,10.0,800.0
2021-06-05,117500,91600,ENE,20.0,900.0
2021-06-06,112700,137700,NNE,19.0,800.0
2021-06-07,69700,126000,NNE,15.0,900.0
2021-06-08,15900,154200,NNE,1.0,700.0
2021-06-09,20100,79300,ENE,7.0,1200.0
2021-06-10,28800,80300,WNW,18.0,1300.0
2021-06-11,7900,20400,—,-,-
2021-06-12,9900,27600,—,-,-
2021-06-13,12300,26500,—,-,-
2021-06-14,9300,25600,—,-,-
2022-08-01,14400,24300,—,-,-
2022-08-02,243400,300400,SSW,20.0,1100.0
2022-08-03,9700,26800,—,-,-
