date,total_passed,peak_birds,peak_direction,peak_speed_mph,peak_altitude_ft
2021-03-01,12200,65400,ENE,0.0,1800.0
2021-03-02,12400,210000,SE,2.0,2900.0
2021-03-03,11900,69800,N,1.0,2100.0
2021-03-04,12700,44300,—,-,-
2021-03-05,12200,27300,—,-,-
2021-03-06,11900,25900,—,-,-
2021-03-07,12300,65000,E,4.0,1000.0
2021-03-08,19900,83100,NE,11.0,1000.0
2021-03-09,14100,78200,N,12.0,700.0
2021-03-10,86100,56200,NNE,18.0,800.0
2021-03-11,92600,118800,NE,14.0,900.0
2021-03-12,13400,78000,E,2.0,1200.0
2021-03-13,11900,49400,ESE,2.0,2700.0
2021-03-14,11400,25800,—,-,-
2021-03-15,12300,46800,—,-,-
2021-03-16,18700,63600,NNE,8.0,700.0
2021-03-17,28000,206000,ENE,3.0,2400.0
2021-03-18,11300,34400,—,-,-
2021-03-19,16700,46200,—,-,-
2021-03-20,48000,86100,N,11.0,700.0
2021-03-21,410200,205800,NNE,26.0,900.0
2021-03-22,367600,182600,NNE,30.0,1000.0
2021-03-23,386400,203700,NNE,32.0,1300.0
2021-03-24,65800,86200,NNE,17.0,700.0
2021-03-25,294500,192100,NNE,30.0,1400.0
2021-03-26,18900,65500,ENE,7.0,1300.0
2021-03-27,920300,508000,NNE,38.0,1600.0
2021-03-28,48400,90500,ENE,10.0,2100.0
2021-03-29,61600,91600,NNE,13.0,500.0
2021-03-30,1963400,548200,NNE,52.0,1600.0
2021-03-31,12800,57800,NNE,5.0,1900.0
2021-04-01,10600,28500,—,-,-
2021-04-02,10600,27600,—,-,-
2021-04-03,52800,86500,N,6.0,800.0
2021-04-04,10200,26900,—,-,-
2021-04-05,10000,27100,—,-,-
2021-04-06,74100,145200,NE,9.0,1000.0
2021-04-07,737900,646900,NE,19.0,1700.0
2021-04-08,4277800,2035900,NE,36.0,2200.0
2021-04-09,1112200,633000,NE,31.0,2100.0
2021-04-10,545100,436100,NE,22.0,1900.0
2021-04-11,65100,80900,N,14.0,1100.0
2021-04-12,56900,88500,N,9.0,1200.0
2021-04-13,153200,138300,NE,21.0,3500.0
2021-04-14,525100,620800,NNE,17.0,2100.0
2021-04-15,12200,30300,—,-,-
2021-04-16,9800,57400,SSE,1.0,1300.0
2021-04-17,55000,86700,NE,16.0,900.0
2021-04-18,474100,271000,NE,24.0,1200.0
2021-04-19,2717800,1314200,NNE,35.0,1300.0
2021-04-20,173600,261200,ENE,9.0,1900.0
2021-04-21,9900,69200,S,0.0,1600.0
2021-04-22,15300,32000,—,-,-
2021-04-23,254300,153300,NNE,29.0,700.0
2021-04-24,2217000,1478700,NNE,25.0,2900.0
2021-04-25,16100,62700,NNE,4.0,1900.0
2021-04-26,10100,33000,—,-,-
2021-04-27,810100,1225100,N,15.0,1600.0
2021-04-28,63800,203600,ENE,10.0,1800.0
2021-04-29,10700,66700,NNE,4.0,1200.0
2021-04-30,11100,127700,ENE,2.0,1600.0
2021-05-01,2257300,2969900,NE,10.0,1200.0
2021-05-02,580800,1285400,ENE,13.0,1000.0
2021-05-03,766300,705400,NNE,30.0,3000.0
2021-05-04,476600,886500,N,29.0,1400.0
2021-05-05,9300,46000,—,-,-
2021-05-06,1275400,1155500,NNE,19.0,1000.0
2021-05-07,6958100,4656900,NNE,31.0,2300.0
2021-05-08,361900,458000,ENE,18.0,1700.0
2021-05-09,508500,1003200,NNE,15.0,2200.0
2021-05-10,614500,673100,NE,26.0,800.0
2021-05-11,47900,326400,ENE,10.0,1000.0
2021-05-12,919600,749100,NNE,20.0,500.0
2021-05-13,2079600,1654100,NE,22.0,900.0
2021-05-14,4216100,2659200,NNE,27.0,1500.0
2021-05-15,5626900,3281900,NE,26.0,1900.0
2021-05-16,3882700,2779800,NNE,25.0,1200.0
2021-05-17,3673200,1989700,NE,26.0,1800.0
2021-05-18,717100,797200,ENE,20.0,500.0
2021-05-19,2729800,1902300,NNE,22.0,1100.0
2021-05-20,5584400,3259800,NNE,29.0,1900.0
2021-05-21,2685300,1988200,NE,26.0,2000.0
2021-05-22,938600,809700,ENE,20.0,800.0
