date,state,gapfilled_ntl,ntl_variability,lunar_irradiance,quality_score,total_passed,peak_birds,peak_direction,peak_speed_mph,peak_altitude_ft,day_of_year,month,year,season,peak_speed_missing,peak_altitude_missing
2021-03-01,NJ,78.06465386852823,0.0478044363752801,10.055935078785357,1.0,10600.0,21500.0,Low activity,-1.0,-1.0,60,3,2021,spring,1,1
2021-03-02,NJ,55.945250029086665,0.2976909348501746,9.114658272043217,0.9616381617219314,65700.0,87900.0,NE,21.0,700.0,61,3,2021,spring,0,0
2021-03-03,NJ,39.80095450843514,0.0258310824055621,8.026640144804695,0.9802722513089004,85500.0,72100.0,NE,23.0,1000.0,62,3,2021,spring,0,0
2021-03-04,NJ,27.600000000000005,3.552713678800501e-15,8.662669382005255,0.9853030831879,10500.0,24100.0,Low activity,-1.0,-1.0,63,3,2021,spring,1,1
2021-03-05,NJ,18.599999999999994,7.105427357601002e-15,8.164719542412824,0.9808609656777196,10700.0,26000.0,Low activity,-1.0,-1.0,64,3,2021,spring,1,1
2021-03-06,NJ,2.5094938917975567,4.274028134884139,9.712427737253291,0.9787597440372308,10200.0,25600.0,Low activity,-1.0,-1.0,65,3,2021,spring,1,1
2021-03-07,NJ,0.5,0.0,9.51610179711058,0.9712763234438626,10800.0,34300.0,Low activity,-1.0,-1.0,66,3,2021,spring,1,1
2021-03-08,NJ,0.5,0.0,8.21587469926257,0.9973403141361256,110100.0,57600.0,NE,39.0,800.0,67,3,2021,spring,0,0
2021-03-09,NJ,0.5,0.0,8.861546761852718,0.979436881908086,106600.0,100900.0,NW,20.0,700.0,68,3,2021,spring,0,0
2021-03-10,NJ,0.5,0.0,8.114491302884296,0.9873438045375218,429200.0,121600.0,NNE,29.0,700.0,69,3,2021,spring,0,0
2021-03-11,NJ,0.5,0.0,8.3679010980908,0.9653961605584642,211800.0,70300.0,NE,36.0,800.0,70,3,2021,spring,0,0
2021-03-12,NJ,0.5,0.0,9.805260836372602,0.9986783013379872,10500.0,20400.0,Low activity,-1.0,-1.0,71,3,2021,spring,1,1
2021-03-13,NJ,0.5,0.0,8.492746520537649,0.995043630017452,38800.0,55600.0,NE,11.0,700.0,72,3,2021,spring,0,0
2021-03-14,NJ,0.5,0.0,7.091308043936398,0.9998766724840022,10400.0,25700.0,Low activity,-1.0,-1.0,73,3,2021,spring,1,1
2021-03-15,NJ,0.5,0.0,7.411318304967346,0.9998813263525306,12200.0,59000.0,NW,15.0,900.0,74,3,2021,spring,0,0
2021-03-16,NJ,0.5,0.0,9.349459674570577,0.9924165212332752,9800.0,20600.0,Low activity,-1.0,-1.0,75,3,2021,spring,1,1
2021-03-17,NJ,0.5,0.0,7.148724595419425,0.9760069808027922,11600.0,20900.0,Low activity,-1.0,-1.0,76,3,2021,spring,1,1
2021-03-18,NJ,0.5,0.0,9.02660584361318,0.9858499127399653,9700.0,205500.0,WNW,0.0,2600.0,77,3,2021,spring,0,0
2021-03-19,NJ,0.5,0.0,8.601554721070062,0.9813123909249564,9900.0,27900.0,Low activity,-1.0,-1.0,78,3,2021,spring,1,1
2021-03-20,NJ,0.5,0.0,6.920095407954108,0.9998789994182664,211100.0,143200.0,NE,22.0,2000.0,79,3,2021,spring,0,0
2021-03-21,NJ,0.5,0.0,7.02746233339539,0.999916230366492,144000.0,101400.0,NNE,22.0,2100.0,80,3,2021,spring,0,0
2021-03-22,NJ,16.732031180919144,1.0503675502655188,7.372309980022139,0.9815287958115182,29200.0,38500.0,N,11.0,2600.0,81,3,2021,spring,0,0
2021-03-23,NJ,24.047033856893545,0.1612703644252208,8.744137990827141,0.9348993600930772,15500.0,23900.0,Low activity,-1.0,-1.0,82,3,2021,spring,1,1
2021-03-24,NJ,34.063942292030255,0.3760183828537652,9.484936696045576,0.9540151250727168,86700.0,120200.0,NE,23.0,1900.0,83,3,2021,spring,0,0
