0142725165947372021010100564+43529-072950FM-15+024099999V0203501N001512200019N016093199-00061-00561102531ADDGF100991999999999999999999MA1102511999999REMMET089METAR KRUT 010056Z AUTO 35003KT 10SM CLR M01/M06 A3027 RMK AO2 SLP253 T10061056 FZRANO $=
0142725165947372021010101564+43529-072950FM-15+024099999V0209999C000012200019N016093199-00111-00561102611ADDGF100991999999999999999999MA1102571999999REMMET089METAR KRUT 010156Z AUTO 00000KT 10SM CLR M01/M06 A3029 RMK AO2 SLP261 T10111056 FZRANO $=
0162725165947372021010102564+43529-072950FM-15+024099999V0209999C000012200019N016093199-00281-00501102731ADDGF100991999999999999999999MA1102671999999MD1210291+9999REMMET095METAR KRUT 010256Z AUTO 00000KT 10SM CLR M03/M05 A3032 RMK AO2 SLP273 T10281050 52029 FZRANO $=
0142725165947372021010103564+43529-072950FM-15+024099999V0209999C000012200019N016093199-00281-00561102821ADDGF100991999999999999999999MA1102781999999REMMET089METAR KRUT 010356Z AUTO 00000KT 10SM CLR M03/M06 A3035 RMK AO2 SLP282 T10281056 FZRANO $=
0218725165947372021010104564+43529-072950FM-15+024099999V0201301N001510106719N016093199-00331-00501102921ADDGD14991+0106719GE19MSL   +99999+99999GF199999999999010671999999KA1240M+00611KA2240N-00391MA1102881999999REMMET102METAR KRUT 010456Z AUTO 13003KT 10SM OVC035 M03/M05 A3038 RMK AO2 SLP292 T10331050 400611039 FZRANO $=
0484725165947372021010104596+43533-072950SOD  +0240KRUT V020999999999999999999999999999+99999+99999999999ADDAA124000595AT1AU16RA  5AT2AU19UP  5KA1240M+00615KA2240N-00386OE11240134122099995OE22240089423099995OE33240038099999995REMSOD33524 HR PRECIPITATION (IN): 0.02 24 HR MAX TEMP (F): 4324 HR MIN TEMP (F): 25PEAK WIND SPEED (MPH): 30 PEAK WIND DIR (DEG):220 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 20FASTEST 2MIN DIR (DEG):230 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 8.5 24 HR AVG TEMP (F): 34HEATING DEGREE DAYS: 31 COOLING DEGREE DAYS:  0EQDR01    257KAN011
0268725165947372021010105567+43533-072950FM-15+0240KRUT V0203405N00215010675MN0160935N5-00285-00505102995ADDGA1085+010675999GD14991+0106759GE19MSL   +99999+99999GF199999999999010671999999KA1060M+00111KA2060N-00391MA1102955100065MD1190259+9999REMMET12201/01/21 00:56:02 METAR KRUT 010556Z 34004KT 10SM OVC035 M03/M05 A3040 RMK AO2 SLP299 T10281050 10011 21039 51025 FZRANO $
0210725165947372021010106567+43533-072950FM-15+0240KRUT V0203505N00265009455MN0160935N5-00285-00505103055ADDGA1085+009455999GD14991+0094559GE19MSL   +99999+99999GF199999999999009451999999MA1103015100125REMMET10401/01/21 01:56:02 METAR KRUT 010656Z 35005KT 10SM OVC031 M03/M05 A3042 RMK AO2 SLP305 T10281050 FZRANO $
0210725165947372021010107567+43533-072950FM-15+0240KRUT V0203505N00155009455MN0160935N5-00335-00505103135ADDGA1085+009455999GD14991+0094559GE19MSL   +99999+99999GF199999999999009451999999MA1103085100195REMMET10401/01/21 02:56:02 METAR KRUT 010756Z 35003KT 10SM OVC031 M03/M05 A3044 RMK AO2 SLP313 T10331050 FZRANO $
0193725165947372021010108397+43533-072950FM-15+0240KRUT V0209999C00005008845MN0160935N5-00305-00605999999ADDGA1085+008845999GD14991+0088459GE19MSL   +99999+99999GF199999999999008841999999MA1103085100195REMMET08701/01/21 03:39:02 METAR KRUT 010839Z 00000KT 10SM OVC029 M03/M06 A3044 RMK AO2 FZRANO $
0230725165947372021010108567+43533-072950FM-15+0240KRUT V0209999C00005008845MN0160935N5-00335-00565103145ADDGA1085+008845999GD14991+0088459GE19MSL   +99999+99999GF199999999999008841999999MA1103085100195MD1190139+9999REMMET11001/01/21 03:56:02 METAR KRUT 010856Z 00000KT 10SM OVC029 M03/M06 A3044 RMK AO2 SLP314 T10331056 51013 FZRANO $
0210725165947372021010109567+43533-072950FM-15+0240KRUT V0209999C00005008845MN0160935N5-00335-00565103215ADDGA1085+008845999GD14991+0088459GE19MSL   +99999+99999GF199999999999008841999999MA1103155100265REMMET10401/01/21 04:56:02 METAR KRUT 010956Z 00000KT 10SM OVC029 M03/M06 A3046 RMK AO2 SLP321 T10331056 FZRANO $
0210725165947372021010110567+43533-072950FM-15+0240KRUT V0209999C00005008235MN0160935N5-00335-00565103265ADDGA1085+008235999GD14991+0082359GE19MSL   +99999+99999GF199999999999008231999999MA1103225100325REMMET10401/01/21 05:56:02 METAR KRUT 011056Z 00000KT 10SM OVC027 M03/M06 A3048 RMK AO2 SLP326 T10331056 FZRANO $
0304725165947372021010111567+43533-072950FM-15+0240KRUT V0209999C00005008235MN0160935N5-00335-00615103275ADDAA124000391GA1085+008235999GD14991+0082359GE19MSL   +99999+99999GF199999999999008231999999KA1060M-00281KA2060N-00331MA1103225100325MD1190129+9999REMMET12801/01/21 06:56:02 METAR KRUT 011156Z 00000KT 10SM OVC027 M03/M06 A3048 RMK AO2 SLP327 70001 T10331061 11028 21033 51012 FZRANO $EQDQ01  00028PRCP24
0229725165947372021010112567+43533-072950FM-15+0240KRUT V0209999C000052200059N0160935N5-00445-00615103255ADDGA1045+008845999GD12991+0088459GE19AGL   +99999+99999GF104995999999008841999999MA1103225100325REMMET10401/01/21 07:56:02 METAR KRUT 011256Z 00000KT 10SM SCT029 M04/M06 A3048 RMK AO2 SLP325 T10441061 FZRANO $EQDD01      0ADE726
0185725165947372021010113567+43533-072950FM-15+0240KRUT V0209999C000052200059N0160935N5-00335-00615103315ADDGA1005+999999999GD10991+9999999GF100991999999999999999999MA1103285100395REMMET10101/01/21 08:56:02 METAR KRUT 011356Z 00000KT 10SM CLR M03/M06 A3050 RMK AO2 SLP331 T10331061 FZRANO $
0205725165947372021010114567+43533-072950FM-15+0240KRUT V0200505N001552200059N0160935N5-00225-00615103345ADDGA1005+999999999GD10991+9999999GF100991999999999999999999MA1103285100395MD1390089+9999REMMET10701/01/21 09:56:02 METAR KRUT 011456Z 05003KT 10SM CLR M02/M06 A3050 RMK AO2 SLP334 T10221061 53008 FZRANO $
0185725165947372021010115567+43533-072950FM-15+0240KRUT V0209999C000052200059N0160935N5-00115-00675103185ADDGA1005+999999999GD10991+9999999GF100991999999999999999999MA1103155100265REMMET10101/01/21 10:56:02 METAR KRUT 011556Z 00000KT 10SM CLR M01/M07 A3046 RMK AO2 SLP318 T10111067 FZRANO $
