0088997270999992021010100004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00691+99999102611ADDMD1110281+9999SA1+0761REMSYN054ACYN4 46/// ///// 10069 40261 51028 90000 222// 00076=
0088997270999992021010101004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00631+99999102711ADDMD1310261+9999SA1+0761REMSYN054ACYN4 46/// ///// 10063 40271 53026 90100 222// 00076=
0088997270999992021010102004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00611+99999102801ADDMD1310271+9999SA1+0751REMSYN054ACYN4 46/// ///// 10061 40280 53027 90200 222// 00075=
0088997270999992021010103004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00561+99999102881ADDMD1110271+9999SA1+0751REMSYN054ACYN4 46/// ///// 10056 40288 51027 90300 222// 00075=
0088997270999992021010104004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00501+99999102971ADDMD1210261+9999SA1+0751REMSYN054ACYN4 46/// ///// 10050 40297 52026 90400 222// 00075=
0068997270999992021010105004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00431+99999103011ADDSA1+0751REMSYN048ACYN4 46/// ///// 10043 40301 90436 222// 00075=
0088997270999992021010106004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00281+99999103061ADDMD1210181+9999SA1+0751REMSYN054ACYN4 46/// ///// 10028 40306 52018 90600 222// 00075=
0068997270999992021010107004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00221+99999103131ADDSA1+0751REMSYN048ACYN4 46/// ///// 10022 40313 90648 222// 00075=
0068997270999992021010109004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00121+99999103161ADDSA1+0741REMSYN048ACYN4 46/// ///// 10012 40316 90842 222// 00074=
0068997270999992021010110004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00111+99999103191ADDSA1+0741REMSYN048ACYN4 46/// ///// 10011 40319 90936 222// 00074=
0068997270999992021010111004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00171+99999103231ADDSA1+0721REMSYN048ACYN4 46/// ///// 10017 40323 91054 222// 00072=
0068997270999992021010112004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00301+99999103261ADDSA1+0721REMSYN048ACYN4 46/// ///// 10030 40326 91206 222// 00072=
0088997270999992021010113004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00301+99999103311ADDMD1210111+9999SA1+0721REMSYN054ACYN4 46/// ///// 10030 40331 52011 91300 222// 00072=
0088997270999992021010114004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00381+99999103341ADDMD1210121+9999SA1+0721REMSYN054ACYN4 46/// ///// 10038 40334 52012 91400 222// 00072=
0068997270999992021010115004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00531+99999103331ADDSA1+0711REMSYN048ACYN4 46/// ///// 10053 40333 91442 222// 00071=
0088997270999992021010116004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00551+99999103221ADDMD1810091+9999SA1+0691REMSYN054ACYN4 46/// ///// 10055 40322 58009 91600 222// 00069=
0068997270999992021010117004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00571+99999103101ADDSA1+0671REMSYN048ACYN4 46/// ///// 10057 40310 91642 222// 00067=
0088997270999992021010118004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00601+99999102981ADDMD1710371+9999SA1+0671REMSYN054ACYN4 46/// ///// 10060 40298 57037 91800 222// 00067=
0088997270999992021010119004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00641+99999102901ADDMD1710321+9999SA1+0671REMSYN054ACYN4 46/// ///// 10064 40290 57032 91900 222// 00067=
0068997270999992021010120004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00641+99999102861ADDSA1+0671REMSYN048ACYN4 46/// ///// 10064 40286 91936 222// 00067=
0088997270999992021010121004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00671+99999102701ADDMD1810281+9999SA1+0681REMSYN054ACYN4 46/// ///// 10067 40270 58028 92100 222// 00068=
0068997270999992021010122004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00681+99999102591ADDSA1+0681REMSYN048ACYN4 46/// ///// 10068 40259 92206 222// 00068=
0088997270999992021010123004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00691+99999102521ADDMD1710271+9999SA1+0681REMSYN054ACYN4 46/// ///// 10069 40252 57027 92300 222// 00068=
0088997270999992021010200004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00771+99999102341ADDMD1710361+9999SA1+0671REMSYN054ACYN4 46/// ///// 10077 40234 57036 90000 222// 00067=
0068997270999992021010201004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00791+99999102181ADDSA1+0671REMSYN048ACYN4 46/// ///// 10079 40218 90048 222// 00067=
0088997270999992021010202004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00801+99999101961ADDMD1710561+9999SA1+0671REMSYN054ACYN4 46/// ///// 10080 40196 57056 90200 222// 00067=
0068997270999992021010203004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00811+99999101851ADDSA1+0671REMSYN048ACYN4 46/// ///// 10081 40185 90236 222// 00067=
0088997270999992021010204004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00921+99999101641ADDMD1610501+9999SA1+0671REMSYN054ACYN4 46/// ///// 10092 40164 56050 90400 222// 00067=
0088997270999992021010205004+39350-074420FM-13+001099999V0209999C000019999999N999999999+99999+99999101281ADDMD1810681+9999SA1+0661REMSYN054ACYN4 46/// ///// 1//// 40128 58068 90500 222// 00066=
0088997270999992021010206004+39350-074420FM-13+001099999V0209999C000019999999N999999999+01091+99999101191ADDMD1610571+9999SA1+0661REMSYN054ACYN4 46/// ///// 10109 40119 56057 90600 222// 00066=
0088997270999992021010207004+39350-074420FM-13+001099999V0209999C000019999999N999999999+01041+99999101161ADDMD1610481+9999SA1+0661REMSYN054ACYN4 46/// ///// 10104 40116 56048 90700 222// 00066=
0088997270999992021010208004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00891+99999101121ADDMD1610161+9999SA1+0671REMSYN054ACYN4 46/// ///// 10089 40112 56016 90800 222// 00067=
0088997270999992021010209004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00831+99999101001ADDMD1810191+9999SA1+0661REMSYN054ACYN4 46/// ///// 10083 40100 58019 90900 222// 00066=
0088997270999992021010210004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00741+99999100921ADDMD1810241+9999SA1+0671REMSYN054ACYN4 46/// ///// 10074 40092 58024 91000 222// 00067=
0088997270999992021010211004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00681+99999100941ADDMD1610181+9999SA1+0671REMSYN054ACYN4 46/// ///// 10068 40094 56018 91100 222// 00067=
0088997270999992021010212004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00681+99999101101ADDMD1310101+9999SA1+0661REMSYN054ACYN4 46/// ///// 10068 40110 53010 91200 222// 00066=
0068997270999992021010213004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00641+99999101161ADDSA1+0661REMSYN048ACYN4 46/// ///// 10064 40116 91236 222// 00066=
0088997270999992021010214004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00711+99999101191ADDMD1210251+9999SA1+0661REMSYN054ACYN4 46/// ///// 10071 40119 52025 91400 222// 00066=
0088997270999992021010215004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00881+99999101211ADDMD1210111+9999SA1+0661REMSYN054ACYN4 46/// ///// 10088 40121 52011 91500 222// 00066=
0068997270999992021010216004+39350-074420FM-13+001099999V0209999C000019999999N999999999+01151+99999101241ADDSA1+0671REMSYN048ACYN4 46/// ///// 10115 40124 91554 222// 00067=
0088997270999992021010217004+39350-074420FM-13+001099999V0209999C000019999999N999999999+01301+99999101231ADDMD1210041+9999SA1+0671REMSYN054ACYN4 46/// ///// 10130 40123 52004 91700 222// 00067=
0088997270999992021010218004+39350-074420FM-13+001099999V0209999C000019999999N999999999+01321+99999101251ADDMD1110041+9999SA1+0691REMSYN054ACYN4 46/// ///// 10132 40125 51004 91800 222// 00069=
0088997270999992021010219004+39350-074420FM-13+001099999V0209999C000019999999N999999999+01311+99999101321ADDMD1310081+9999SA1+0711REMSYN054ACYN4 46/// ///// 10131 40132 53008 91900 222// 00071=
0088997270999992021010220004+39350-074420FM-13+001099999V0209999C000019999999N999999999+01231+99999101401ADDMD1310171+9999SA1+0711REMSYN054ACYN4 46/// ///// 10123 40140 53017 92000 222// 00071=
0088997270999992021010221004+39350-074420FM-13+001099999V0209999C000019999999N999999999+01121+99999101561ADDMD1310311+9999SA1+0721REMSYN054ACYN4 46/// ///// 10112 40156 53031 92100 222// 00072=
0088997270999992021010222004+39350-074420FM-13+001099999V0209999C000019999999N999999999+01011+99999101671ADDMD1310351+9999SA1+0741REMSYN054ACYN4 46/// ///// 10101 40167 53035 92200 222// 00074=
0088997270999992021010223004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00951+99999101801ADDMD1110401+9999SA1+0741REMSYN054ACYN4 46/// ///// 10095 40180 51040 92300 222// 00074=
