0068997270999992023010100004+39350-074420FM-13+001099999V02099999999999999999N999999999+00861+99999101121ADDSA1+0541REMSYN048ACYN4 46/// ///// 10086 40112 92336 222// 00054=
0068997270999992023010101004+39350-074420FM-13+001099999V02099999999999999999N999999999+00851+99999101071ADDSA1+0531REMSYN048ACYN4 46/// ///// 10085 40107 90036 222// 00053=
0068997270999992023010102004+39350-074420FM-13+001099999V02099999999999999999N999999999+00931+99999100931ADDSA1+0541REMSYN048ACYN4 46/// ///// 10093 40093 90148 222// 00054=
0088997270999992023010103004+39350-074420FM-13+001099999V02099999999999999999N999999999+00921+99999100901ADDMD1710161+9999SA1+0551REMSYN054ACYN4 46/// ///// 10092 40090 57016 90300 222// 00055=
0088997270999992023010104004+39350-074420FM-13+001099999V02099999999999999999N999999999+99999+99999100761ADDMD1810271+9999SA1+0551REMSYN054ACYN4 46/// ///// 1//// 40076 58027 90400 222// 00055=
0088997270999992023010105004+39350-074420FM-13+001099999V02099999999999999999N999999999+00901+99999100781ADDMD1610151+9999SA1+0561REMSYN054ACYN4 46/// ///// 10090 40078 56015 90500 222// 00056=
0088997270999992023010106004+39350-074420FM-13+001099999V02099999999999999999N999999999+01271+99999100801ADDMD1610101+9999SA1+0551REMSYN054ACYN4 46/// ///// 10127 40080 56010 90600 222// 00055=
0088997270999992023010107004+39350-074420FM-13+001099999V02099999999999999999N999999999+01251+99999100891ADDMD1310131+9999SA1+0551REMSYN054ACYN4 46/// ///// 10125 40089 53013 90700 222// 00055=
0088997270999992023010108004+39350-074420FM-13+001099999V02099999999999999999N999999999+01241+99999100961ADDMD1310181+9999SA1+0541REMSYN054ACYN4 46/// ///// 10124 40096 53018 90800 222// 00054=
0088997270999992023010109004+39350-074420FM-13+001099999V02099999999999999999N999999999+01231+99999100971ADDMD1110171+9999SA1+0541REMSYN054ACYN4 46/// ///// 10123 40097 51017 90900 222// 00054=
0088997270999992023010110004+39350-074420FM-13+001099999V02099999999999999999N999999999+01181+99999101071ADDMD1310181+9999SA1+0541REMSYN054ACYN4 46/// ///// 10118 40107 53018 91000 222// 00054=
0088997270999992023010111004+39350-074420FM-13+001099999V02099999999999999999N999999999+01101+99999101171ADDMD1310211+9999SA1+0551REMSYN054ACYN4 46/// ///// 10110 40117 53021 91100 222// 00055=
0088997270999992023010112004+39350-074420FM-13+001099999V02099999999999999999N999999999+01061+99999101171ADDMD1110201+9999SA1+0551REMSYN054ACYN4 46/// ///// 10106 40117 51020 91200 222// 00055=
0088997270999992023010113004+39350-074420FM-13+001099999V02099999999999999999N999999999+01081+99999101311ADDMD1310241+9999SA1+0551REMSYN054ACYN4 46/// ///// 10108 40131 53024 91300 222// 00055=
