0088997743999992023010100004+40650-074067FM-13+007299999V0201901N003119999999N999999999+01031+99999101041ADDOD159900361999REMSYN062ROBN4 46/// /1906 10103 40104 92336 333 91207 555 11006 22006=
0088997743999992023010101004+40650-074067FM-13+007299999V0201601N002619999999N999999999+00981+99999101001ADDOD159900311999REMSYN062ROBN4 46/// /1605 10098 40100 90036 333 91206 555 11005 22005=
0088997743999992023010102004+40650-074067FM-13+007299999V0201801N001019999999N999999999+00971+99999100891ADDOD159900151999REMSYN062ROBN4 46/// /1802 10097 40089 90148 333 91203 555 11002 22002=
0108997743999992023010103004+40650-074067FM-13+007299999V0202701N003119999999N999999999+01111+99999100841ADDMD1610201+9999OD159900311999REMSYN068ROBN4 46/// /2706 10111 40084 56020 90300 333 91206 555 11005 22006=
0108997743999992023010104004+40650-074067FM-13+007299999V0203101N001519999999N999999999+99999+99999100801ADDMD1610161+9999OD159900261999REMSYN068ROBN4 46/// /3103 1//// 40080 56016 90400 333 91205 555 11003 22003=
0108997743999992023010105004+40650-074067FM-13+007299999V0201201N002119999999N999999999+01101+99999100661ADDMD1810201+9999OD159900211999REMSYN068ROBN4 46/// /1204 10110 40066 58020 90500 333 91204 555 11003 22004=
0108997743999992023010106004+40650-074067FM-13+007299999V0202701N004119999999N999999999+01121+99999100691ADDMD1510151+9999OD159900511999REMSYN068ROBN4 46/// /2708 10112 40069 55015 90600 333 91210 555 11007 22008=
0108997743999992023010107004+40650-074067FM-13+007299999V0202701N007219999999N999999999+01091+99999100721ADDMD1510081+9999OD159900821999REMSYN068ROBN4 46/// /2714 10109 40072 55008 90700 333 91216 555 11013 22014=
0108997743999992023010108004+40650-074067FM-13+007299999V0202801N005719999999N999999999+01101+99999100791ADDMD1310131+9999OD159900621999REMSYN068ROBN4 46/// /2811 10110 40079 53013 90800 333 91212 555 11010 22011=
0108997743999992023010109004+40650-074067FM-13+007299999V0202701N005119999999N999999999+01051+99999100841ADDMD1310151+9999OD159900571999REMSYN068ROBN4 46/// /2710 10105 40084 53015 90900 333 91211 555 11009 22010=
0108997743999992023010110004+40650-074067FM-13+007299999V0202701N004619999999N999999999+01021+99999100871ADDMD1110151+9999OD159900511999REMSYN068ROBN4 46/// /2709 10102 40087 51015 91000 333 91210 555 11008 22009=
0108997743999992023010111004+40650-074067FM-13+007299999V0202601N007219999999N999999999+00991+99999100981ADDMD1310191+9999OD159900771999REMSYN068ROBN4 46/// /2614 10099 40098 53019 91100 333 91215 555 11012 22014=
0108997743999992023010112004+40650-074067FM-13+007299999V0202801N004119999999N999999999+00931+99999101041ADDMD1310201+9999OD159900511999REMSYN068ROBN4 46/// /2808 10093 40104 53020 91200 333 91210 555 11008 22008=
0108997743999992023010113004+40650-074067FM-13+007299999V0202601N007219999999N999999999+00951+99999101161ADDMD1310291+9999OD159900771999REMSYN068ROBN4 46/// /2614 10095 40116 53029 91300 333 91215 555 11012 22014=
0108997743999992023010114004+40650-074067FM-13+007299999V0202701N004619999999N999999999+00981+99999101221ADDMD1210241+9999OD159900571999REMSYN068ROBN4 46/// /2709 10098 40122 52024 91400 333 91211 555 11009 22009=
0108997743999992023010115004+40650-074067FM-13+007299999V0202801N006219999999N999999999+01071+99999101371ADDMD1310331+9999OD159900671999REMSYN068ROBN4 46/// /2812 10107 40137 53033 91500 333 91213 555 11011 22012=
0108997743999992023010116004+40650-074067FM-13+007299999V0203001N008219999999N999999999+01131+99999101371ADDMD1110211+9999OD159900931999REMSYN068ROBN4 46/// /3016 10113 40137 51021 91600 333 91218 555 11015 22016=
0108997743999992023010117004+40650-074067FM-13+007299999V0203001N006719999999N999999999+01101+99999101321ADDMD1990101+9999OD159900771999REMSYN068ROBN4 46/// /3013 10110 40132 50010 91700 333 91215 555 11012 22013=
0108997743999992023010118004+40650-074067FM-13+007299999V0203101N006719999999N999999999+01161+99999101341ADDMD1710031+9999OD159900981999REMSYN068ROBN4 46/// /3113 10116 40134 57003 91800 333 91219 555 11012 22013=
0108997743999992023010119004+40650-074067FM-13+007299999V0203001N004119999999N999999999+01191+99999101331ADDMD1610041+9999OD159900571999REMSYN068ROBN4 46/// /3008 10119 40133 56004 91900 333 91211 555 11008 22008=
0108997743999992023010120004+40650-074067FM-13+007299999V0203101N005719999999N999999999+01221+99999101351ADDMD1210031+9999OD159900721999REMSYN068ROBN4 46/// /3111 10122 40135 52003 92000 333 91214 555 11010 22011=
0108997743999992023010121004+40650-074067FM-13+007299999V0203101N003619999999N999999999+01251+99999101401ADDMD1310061+9999OD159900411999REMSYN068ROBN4 46/// /3107 10125 40140 53006 92100 333 91208 555 11006 22007=
0108997743999992023010122004+40650-074067FM-13+007299999V0202601N002119999999N999999999+99999+99999101421ADDMD1210091+9999OD159900261999REMSYN068ROBN4 46/// /2604 1//// 40142 52009 92200 333 91205 555 11003 22004=
0108997743999992023010123004+40650-074067FM-13+007299999V0202201N002119999999N999999999+01141+99999101451ADDMD1110101+9999OD159900211999REMSYN068ROBN4 46/// /2204 10114 40145 51010 92300 333 91204 555 11003 22004=
0108997743999992023010200004+40650-074067FM-13+007299999V0202701N004619999999N999999999+01081+99999101601ADDMD1310201+9999OD159900511999REMSYN068ROBN4 46/// /2709 10108 40160 53020 90000 333 91210 555 11008 22009=
0108997743999992023010201004+40650-074067FM-13+007299999V0202501N002619999999N999999999+01031+99999101621ADDMD1110201+9999OD159900361999REMSYN068ROBN4 46/// /2505 10103 40162 51020 90100 333 91207 555 11005 22005=
0108997743999992023010202004+40650-074067FM-13+007299999V0202501N002119999999N999999999+00981+99999101671ADDMD1110221+9999OD159900261999REMSYN068ROBN4 46/// /2504 10098 40167 51022 90200 333 91205 555 11004 22004=
0108997743999992023010203004+40650-074067FM-13+007299999V0202801N002119999999N999999999+00911+99999101681ADDMD1210081+9999OD159900311999REMSYN068ROBN4 46/// /2804 10091 40168 52008 90300 333 91206 555 11004 22004=
0108997743999992023010204004+40650-074067FM-13+007299999V0202801N002119999999N999999999+00881+99999101711ADDMD1110091+9999OD159900261999REMSYN068ROBN4 46/// /2804 10088 40171 51009 90400 333 91205 555 11004 22004=
