0108997779999992023010100004+39300-075367FM-13+000399999V0202301N004619999999N999999999+01121+99999101121ADDOD159900621999SA1+0301REMSYN074SJSN4 46/// /2309 10112 40112 92336 222// 00030 333 91212 555 11009 22010=
0108997779999992023010101004+39300-075367FM-13+000399999V0202001N004619999999N999999999+01321+99999101061ADDOD159900511999SA1+0301REMSYN074SJSN4 46/// /2009 10132 40106 90036 222// 00030 333 91210 555 11009 22009=
0108997779999992023010102004+39300-075367FM-13+000399999V0202101N004619999999N999999999+01241+99999101021ADDOD159900511999SA1+0301REMSYN074SJSN4 46/// /2109 10124 40102 90148 222// 00030 333 91210 555 11009 22010=
0128997779999992023010103004+39300-075367FM-13+000399999V0202201N005119999999N999999999+01181+99999101041ADDMD1510051+9999OD159900571999SA1+0311REMSYN080SJSN4 46/// /2210 10118 40104 55005 90300 222// 00031 333 91211 555 11009 22010=
0128997779999992023010104004+39300-075367FM-13+000399999V0202201N003119999999N999999999+99999+99999100911ADDMD1810121+9999OD159900361999SA1+0321REMSYN080SJSN4 46/// /2206 1//// 40091 58012 90400 222// 00032 333 91207 555 11006 22007=
0128997779999992023010105004+39300-075367FM-13+000399999V0202501N005119999999N999999999+01141+99999100921ADDMD1810071+9999OD159900571999SA1+0311REMSYN080SJSN4 46/// /2510 10114 40092 58007 90500 222// 00031 333 91211 555 11010 22010=
0128997779999992023010106004+39300-075367FM-13+000399999V0202501N006719999999N999999999+01061+99999100921ADDMD1610121+9999OD159900771999SA1+0331REMSYN080SJSN4 46/// /2513 10106 40092 56012 90600 222// 00033 333 91215 555 11013 22014=
0128997779999992023010107004+39300-075367FM-13+000399999V0202601N007719999999N999999999+01021+99999101011ADDMD1310101+9999OD159900821999SA1+0321REMSYN080SJSN4 46/// /2615 10102 40101 53010 90700 222// 00032 333 91216 555 11014 22015=
0128997779999992023010108004+39300-075367FM-13+000399999V0202601N006719999999N999999999+01041+99999101081ADDMD1310161+9999OD159900721999SA1+0311REMSYN080SJSN4 46/// /2613 10104 40108 53016 90800 222// 00031 333 91214 555 11012 22013=
0128997779999992023010109004+39300-075367FM-13+000399999V0202601N006719999999N999999999+00961+99999101121ADDMD1110201+9999OD159900721999SA1+0311REMSYN080SJSN4 46/// /2613 10096 40112 51020 90900 222// 00031 333 91214 555 11012 22013=
0128997779999992023010110004+39300-075367FM-13+000399999V0202601N006719999999N999999999+00931+99999101201ADDMD1310191+9999OD159900821999SA1+0311REMSYN080SJSN4 46/// /2613 10093 40120 53019 91000 222// 00031 333 91216 555 11013 22014=
0128997779999992023010111004+39300-075367FM-13+000399999V0202801N001519999999N999999999+00641+99999101271ADDMD1310191+9999OD159900261999SA1+0311REMSYN080SJSN4 46/// /2803 10064 40127 53019 91100 222// 00031 333 91205 555 11003 22003=
0128997779999992023010112004+39300-075367FM-13+000399999V0203301N004619999999N999999999+00551+99999101361ADDMD1310241+9999OD159900511999SA1+0311REMSYN080SJSN4 46/// /3309 10055 40136 53024 91200 222// 00031 333 91210 555 11008 22009=
