0045997779999992025050613004+39300-075367FM-13+000399999V02099999999999999999N999999999+01801+99999101731REMSYN036SJSN4 46/// ///// 10180 40173 91324=
0045997779999992025050614004+39300-075367FM-13+000399999V02099999999999999999N999999999+01811+99999101721REMSYN036SJSN4 46/// ///// 10181 40172 91336=
0045997779999992025050615004+39300-075367FM-13+000399999V02099999999999999999N999999999+01761+99999101671REMSYN036SJSN4 46/// ///// 10176 40167 91436=
0045997779999992025050616004+39300-075367FM-13+000399999V02099999999999999999N999999999+01721+99999101631REMSYN036SJSN4 46/// ///// 10172 40163 91548=
0045997779999992025050617004+39300-075367FM-13+000399999V02099999999999999999N999999999+99999+99999101551REMSYN036SJSN4 46/// ///// 1//// 40155 91636=
0045997779999992025050618004+39300-075367FM-13+000399999V02099999999999999999N999999999+99999+99999101431REMSYN036SJSN4 46/// ///// 1//// 40143 91748=
0045997779999992025050619004+39300-075367FM-13+000399999V02099999999999999999N999999999+99999+99999101361REMSYN036SJSN4 46/// ///// 1//// 40136 91836=
0045997779999992025050620004+39300-075367FM-13+000399999V02099999999999999999N999999999+02201+99999101371REMSYN036SJSN4 46/// ///// 10220 40137 91936=
0045997779999992025050621004+39300-075367FM-13+000399999V02099999999999999999N999999999+02211+99999101381REMSYN036SJSN4 46/// ///// 10221 40138 92048=
0045997779999992025050622004+39300-075367FM-13+000399999V02099999999999999999N999999999+02211+99999101371REMSYN036SJSN4 46/// ///// 10221 40137 92136=
0045997779999992025050715004+39300-075367FM-13+000399999V02099999999999999999N999999999+01781+99999101741REMSYN036SJSN4 46/// ///// 10178 40174 91448=
0045997779999992025050716004+39300-075367FM-13+000399999V02099999999999999999N999999999+99999+99999101731REMSYN036SJSN4 46/// ///// 1//// 40173 91536=
0045997779999992025050717004+39300-075367FM-13+000399999V02099999999999999999N999999999+01851+99999101721REMSYN036SJSN4 46/// ///// 10185 40172 91654=
