Feature,Importance
temperature_2m (°C),0.1958951263564923
day_of_year,0.19566777312934808
wind_speed_10m (km/h),0.1523792636581486
month,0.08133919946113947
lunar_irradiance_yj,0.06418447305482841
relative_humidity_2m (%),0.06342360030339089
alan_lunar_interaction,0.0550805024477045
cloud_cover (%),0.05064565330490173
alan_cloud_interaction,0.049429954913377525
gapfilled_ntl_log,0.032487475046854335
ntl_variability_log,0.03082680520381416
rain (mm),0.02272136241694659
state_VT,0.005918810703053431
